timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1596897129648,39846,HTTP Request-1,Non HTTP response code: javax.net.ssl.SSLException,Non HTTP response message: Connection reset,Thread Group 1-83,text,false,,3287,0,60,60,https://tavriav.ua/catalog/search/?query=jameson,36858,0,67
1596897129415,40598,HTTP Request,200,OK,Thread Group 1-63,text,true,,466018,288,59,59,https://tavriav.ua/catalog/search/?query=jameson,36,0,18
1596897129415,36,HTTP Request-0,302,Moved Temporarily,Thread Group 1-63,text,true,,384,144,59,59,http://tavriav.ua/catalog/search/?query=jameson,36,0,18
1596897129451,40562,HTTP Request-1,200,OK,Thread Group 1-63,text,true,,465634,144,59,59,https://tavriav.ua/catalog/search/?query=jameson,35449,0,99
1596897129043,41249,HTTP Request,200,OK,Thread Group 1-26,text,true,,466018,288,58,58,https://tavriav.ua/catalog/search/?query=jameson,31,0,16
1596897129043,31,HTTP Request-0,302,Moved Temporarily,Thread Group 1-26,text,true,,384,144,58,58,http://tavriav.ua/catalog/search/?query=jameson,31,0,16
1596897129075,41217,HTTP Request-1,200,OK,Thread Group 1-26,text,true,,465634,144,58,58,https://tavriav.ua/catalog/search/?query=jameson,36111,0,75
1596897129134,41191,HTTP Request,200,OK,Thread Group 1-35,text,true,,466018,288,57,57,https://tavriav.ua/catalog/search/?query=jameson,28,0,14
1596897129134,28,HTTP Request-0,302,Moved Temporarily,Thread Group 1-35,text,true,,384,144,57,57,http://tavriav.ua/catalog/search/?query=jameson,28,0,14
1596897129162,41163,HTTP Request-1,200,OK,Thread Group 1-35,text,true,,465634,144,57,57,https://tavriav.ua/catalog/search/?query=jameson,35415,0,69
1596897129373,41009,HTTP Request,200,OK,Thread Group 1-59,text,true,,466018,288,56,56,https://tavriav.ua/catalog/search/?query=jameson,32,0,13
1596897129373,32,HTTP Request-0,302,Moved Temporarily,Thread Group 1-59,text,true,,384,144,56,56,http://tavriav.ua/catalog/search/?query=jameson,32,0,13
1596897129406,40976,HTTP Request-1,200,OK,Thread Group 1-59,text,true,,465634,144,56,56,https://tavriav.ua/catalog/search/?query=jameson,35049,0,78
1596897129590,40792,HTTP Request,200,OK,Thread Group 1-80,text,true,,466018,288,56,56,https://tavriav.ua/catalog/search/?query=jameson,25,0,13
1596897129590,26,HTTP Request-0,302,Moved Temporarily,Thread Group 1-80,text,true,,384,144,56,56,http://tavriav.ua/catalog/search/?query=jameson,25,0,13
1596897129616,40766,HTTP Request-1,200,OK,Thread Group 1-80,text,true,,465634,144,56,56,https://tavriav.ua/catalog/search/?query=jameson,34931,0,98
1596897129006,41469,HTTP Request,200,OK,Thread Group 1-22,text,true,,466018,288,54,54,https://tavriav.ua/catalog/search/?query=jameson,28,0,15
1596897129006,28,HTTP Request-0,302,Moved Temporarily,Thread Group 1-22,text,true,,384,144,54,54,http://tavriav.ua/catalog/search/?query=jameson,28,0,15
1596897129035,41440,HTTP Request-1,200,OK,Thread Group 1-22,text,true,,465634,144,54,54,https://tavriav.ua/catalog/search/?query=jameson,35536,0,61
1596897129716,40846,HTTP Request,200,OK,Thread Group 1-93,text,true,,466018,288,53,53,https://tavriav.ua/catalog/search/?query=jameson,29,0,15
1596897129716,29,HTTP Request-0,302,Moved Temporarily,Thread Group 1-93,text,true,,384,144,53,53,http://tavriav.ua/catalog/search/?query=jameson,29,0,15
1596897129746,40816,HTTP Request-1,200,OK,Thread Group 1-93,text,true,,465634,144,53,53,https://tavriav.ua/catalog/search/?query=jameson,36569,0,67
1596897129263,41414,HTTP Request,200,OK,Thread Group 1-48,text,true,,466018,288,52,52,https://tavriav.ua/catalog/search/?query=jameson,30,0,15
1596897129263,30,HTTP Request-0,302,Moved Temporarily,Thread Group 1-48,text,true,,384,144,52,52,http://tavriav.ua/catalog/search/?query=jameson,30,0,15
1596897129293,41384,HTTP Request-1,200,OK,Thread Group 1-48,text,true,,465634,144,52,52,https://tavriav.ua/catalog/search/?query=jameson,36228,0,113
1596897128853,41952,HTTP Request,200,OK,Thread Group 1-7,text,true,,466018,288,51,51,https://tavriav.ua/catalog/search/?query=jameson,32,0,16
1596897128853,32,HTTP Request-0,302,Moved Temporarily,Thread Group 1-7,text,true,,384,144,51,51,http://tavriav.ua/catalog/search/?query=jameson,32,0,16
1596897128885,41920,HTTP Request-1,200,OK,Thread Group 1-7,text,true,,465634,144,51,51,https://tavriav.ua/catalog/search/?query=jameson,35645,0,113
1596897129509,41307,HTTP Request,200,OK,Thread Group 1-72,text,true,,466018,288,50,50,https://tavriav.ua/catalog/search/?query=jameson,28,0,14
1596897129509,28,HTTP Request-0,302,Moved Temporarily,Thread Group 1-72,text,true,,384,144,50,50,http://tavriav.ua/catalog/search/?query=jameson,28,0,14
1596897129537,41279,HTTP Request-1,200,OK,Thread Group 1-72,text,true,,465634,144,50,50,https://tavriav.ua/catalog/search/?query=jameson,36504,0,106
1596897129284,41537,HTTP Request,200,OK,Thread Group 1-50,text,true,,466018,288,49,49,https://tavriav.ua/catalog/search/?query=jameson,32,0,18
1596897129284,32,HTTP Request-0,302,Moved Temporarily,Thread Group 1-50,text,true,,384,144,49,49,http://tavriav.ua/catalog/search/?query=jameson,32,0,18
1596897129316,41505,HTTP Request-1,200,OK,Thread Group 1-50,text,true,,465634,144,49,49,https://tavriav.ua/catalog/search/?query=jameson,35710,0,65
1596897129444,41613,HTTP Request,Non HTTP response code: javax.net.ssl.SSLException,Non HTTP response message: Connection reset,Thread Group 1-66,text,false,,3671,144,48,48,https://tavriav.ua/catalog/search/?query=jameson,34,0,19
1596897129444,34,HTTP Request-0,302,Moved Temporarily,Thread Group 1-66,text,true,,384,144,48,48,http://tavriav.ua/catalog/search/?query=jameson,34,0,19
